0x3E90	3E90 Kurbelwellengeber, Signal
0x471B	471B Motoroel, kritische Oelmasse
0x4723	4723 Steuergeraet intern 9
0x472B	472B Motoroel, kritische Oelviskositaet
0x4730	4730 Mengenregelventil Stromregelung
0x4731	4731 Mengenregelventil Stromregelung
0x4732	4732 Mengenregelventil Stromregelung
0x4740	4740 Steuergeraet intern 11
0x4763	4763 Steuergeraet intern 13 (nv)
0x4772	4772 Steuergeraet intern 14
0x4773	4773 Steuergeraet intern 14
0x4780	4780 Steuergeraet intern 15
0x4781	4781 Steuergeraet intern 15
0x4782	4782 Steuergeraet intern 15
0x4783	4783 Steuergeraet intern 15
0x4792	4792 Ueberwachung Master/Slave
0x4793	4793 Ueberwachung Master/Slave
0x47F7	47F7 Botschaft (STAT_SITZBELEGUNG_GURT, 0x2FA)
0x47F8	47F8 Botschaft (STAT_SITZBELEGUNG_GURT, 0x2FA)
0x4803	4803 Drehmomentueberwachung ACC
0x480A	480A Partikelfiltersystem
0x4810	4810 Drehmomenteingriff ACC
0x481A	481A Partikelfiltersystem
0x4820	4820 Klimaleistungsausgang, Ansteuerung
0x4821	4821 Klimaleistungsausgang, Ansteuerung
0x4822	4822 Klimaleistungsausgang, Ansteuerung
0x4823	4823 Klimaleistungsausgang, Ansteuerung
0x482A	482A Energiesparmode aktiv
0x482B	482B Energiesparmode aktiv
0x482C	482C Energiesparmode aktiv
0x4830	4830 Ansauglufttemperatursensor
0x4831	4831 Ansauglufttemperatursensor
0x4832	4832 Ansauglufttemperatursensor
0x483D	483D Drosselklappensteller
0x4841	4841 Abgasrueckfuehr-Regelung 2, Regelabweichung
0x484A	484A Fahrpedalmodul Potentiometer, Signal
0x4850	4850 Abgasrueckfuehr-Regelung 2, Regelabweichung
0x4857	4857 Drallklappensteller
0x485A	485A AGR-Kuehler Bypassventil, Ansteuerung
0x485B	485B AGR-Kuehler Bypassventil, Ansteuerung
0x485C	485C AGR-Kuehler Bypassventil, Ansteuerung
0x485D	485D AGR-Kuehler Bypassventil, Ansteuerung
0x4863	4863 Fahrgeschwindigkeitsregelung
0x4867	4867 Drallklappensteller
0x486D	486D Steuergeraet
0x4870	4870 Aussetzerkennung in mehreren Zylindern
0x4877	4877 Drallklappensteller
0x4880	4880 Aussetzerkennung Zylinder 1
0x4887	4887 Drallklappensteller
0x4890	4890 Aussetzerkennung Zylinder 2
0x4896	4896 Drallklappensteller
0x48A2	48A2 Botschaft (ASC1)
0x48A3	48A3 Botschaft (ASC1)
0x48A5	48A5 Botschaft (VEH_MOD, 0x315)
0x48A6	48A6 Botschaft (VEH_MOD, 0x315)
0x48A7	48A7 Botschaft (VEH_MOD, 0x315)
0x48A8	48A8 Botschaft (VEH_MOD, 0x315)
0x48B2	48B2 Botschaft (ASC2)
0x48B3	48B3 Botschaft (ASC2)
0x48C2	48C2 Botschaft (EGS1)
0x48C3	48C3 Botschaft (EGS1)
0x48D2	48D2 Botschaft (INSTR2)
0x48D3	48D3 Botschaft (INSTR2)
0x48E2	48E2 Botschaft (INSTR3)
0x48E3	48E3 Botschaft (INSTR3)
0x48F0	48F0 CAN Bus A
0x48F1	48F1 CAN Bus A
0x48F2	48F2 CAN Bus A
0x48F3	48F3 CAN Bus A
0x4900	4900 Momenteneingriff DSC (nv)
0x4910	4910 CAN Bus B
0x4911	4911 CAN Bus B
0x4912	4912 CAN Bus B
0x4913	4913 CAN Bus B
0x4920	4920 Momenteneingriff Getriebe (nv)
0x4930	4930 Aussetzerkennung Zylinder 3
0x4940	4940 Aussetzerkennung Zylinder 4
0x4950	4950 Aussetzerkennung Zylinder 5
0x4960	4960 Aussetzerkennung Zylinder 6
0x4991	4991 Botschaft (STAT_KOMBI, 0x1B4)
0x4992	4992 Botschaft (STAT_KOMBI, 0x1B4)
0x4993	4993 Botschaft (STAT_KOMBI, 0x1B4)
0x49A2	49A2 Botschaft (A_TEMP_RELATIVZEIT, 0x310)
0x49A3	49A3 Botschaft (A_TEMP_RELATIVZEIT, 0x310)
0x49A7	49A7 Botschaft (RQ_STG_EFAN, 0x?)
0x49A8	49A8 Botschaft (RQ_STG_EFAN, 0x?)
0x49B7	49B7 Botschaft (STAT_EKP, 0x335)
0x49B8	49B8 Botschaft (STAT_EKP, 0x335)
0x49C5	49C5 Abgastemperatursensor vor Turbine, Signal
0x49C6	49C6 Abgastemperatursensor vor Turbine, Signal
0x49D7	49D7 Botschaft (ASC4)
0x49D8	49D8 Botschaft (ASC4)
0x49E7	49E7 Drosselklappensteller
0x49F2	49F2 Botschaft (WHEEL_SPEED, 0xCE)
0x49F3	49F3 Botschaft (WHEEL_SPEED, 0xCE)
0x49F7	49F7 Drallklappensteller
0x4A02	4A02 Klemme 15
0x4A03	4A03 Klemme 15
0x4A05	4A05 Generator (Layer_BSD)
0x4A06	4A06 Generator (Layer_BSD)
0x4A07	4A07 Generator (Layer_BSD)
0x4A08	4A08 Generator (Layer_BSD)
0x4A10	4A10 Bitserielle Datenschnittstelle BSD
0x4A13	4A13 Bitserielle Datenschnittstelle BSD
0x4A15	4A15 Generator (Layer_GEN)
0x4A16	4A16 Generator (Layer_GEN)
0x4A17	4A17 Generator (Layer_GEN)
0x4A18	4A18 Generator (Layer_GEN)
0x4A25	4A25 Intelligenter Batterie Sensor (Layer_DIBS1)
0x4A26	4A26 Intelligenter Batterie Sensor (Layer_DIBS1)
0x4A27	4A27 Intelligenter Batterie Sensor (Layer_DIBS1)
0x4A28	4A28 Intelligenter Batterie Sensor (Layer_DIBS1)
0x4A30	4A30 Multifunktionslenkrad, Signal
0x4A31	4A31 Multifunktionslenkrad, Signal
0x4A32	4A32 Multifunktionslenkrad, Signal
0x4A33	4A33 Multifunktionslenkrad, Signal
0x4A35	4A35 Intelligenter Batterie Sensor (Layer_DIBS2)
0x4A36	4A36 Intelligenter Batterie Sensor (Layer_DIBS2)
0x4A37	4A37 Intelligenter Batterie Sensor (Layer_DIBS2)
0x4A38	4A38 Intelligenter Batterie Sensor (Layer_DIBS2)
0x4A40	4A40 EWS Schnittstellenfehler
0x4A41	4A41 EWS Schnittstellenfehler
0x4A42	4A42 EWS Schnittstellenfehler
0x4A43	4A43 EWS Schnittstellenfehler
0x4A45	4A45 Intelligenter Batterie Sensor (Layer_DIBS3)
0x4A46	4A46 Intelligenter Batterie Sensor (Layer_DIBS3)
0x4A47	4A47 Intelligenter Batterie Sensor (Layer_DIBS3)
0x4A48	4A48 Intelligenter Batterie Sensor (Layer_DIBS3)
0x4A4A	4A4A Momentenreduktion Partikelfilter
0x4A50	4A50 EWS EEPROM Wechselcodeablage fehlerhaft
0x4A51	4A51 EWS EEPROM Wechselcodeablage fehlerhaft
0x4A55	4A55 Powermanagement Batterie (Layer_PMBATT)
0x4A56	4A56 Powermanagement Batterie (Layer_PMBATT)
0x4A57	4A57 Powermanagement Batterie (Layer_PMBATT)
0x4A58	4A58 Powermanagement Batterie (Layer_PMBATT)
0x4A60	4A60 EWS Manipulation
0x4A61	4A61 EWS Manipulation
0x4A62	4A62 EWS Manipulation
0x4A63	4A63 EWS Manipulation
0x4A65	4A65 Powermanagement Bordnetz (Layer_PMBN)
0x4A66	4A66 Powermanagement Bordnetz (Layer_PMBN)
0x4A67	4A67 Powermanagement Bordnetz (Layer_PMBN)
0x4A68	4A68 Powermanagement Bordnetz (Layer_PMBN)
0x4A70	4A70 Kennfeld FMTC_trq2qBas_MAP falsch
0x4A7D	4A7D Drehmomentueberwachung DCC
0x4A80	4A80 Ladeluftschlauch-Ueberwachung
0x4A8A	4A8A Dummyfehler (Layer_FltMngTst)
0x4A8B	4A8B Dummyfehler (Layer_FltMngTst)
0x4A8C	4A8C Dummyfehler (Layer_FltMngTst)
0x4A8D	4A8D Dummyfehler (Layer_FltMngTst)
0x4A92	4A92 Botschaft (ASC3)
0x4A93	4A93 Botschaft (ASC3)
0x4A97	4A97 Botschaft (CBS_RESET_2, 0x580)
0x4A98	4A98 Botschaft (CBS_RESET_2, 0x580)
0x4AA2	4AA2 Botschaft (EGS2)
0x4AA3	4AA3 Botschaft (EGS2)
0x4AA7	4AA7 Botschaft (STAT_ANHAENGER, 0x2E4)
0x4AA8	4AA8 Botschaft (STAT_ANHAENGER, 0x2E4)
0x4AB0	4AB0 Elektrischer Zuheizer
0x4AB2	4AB2 Elektrischer Zuheizer
0x4AB7	4AB7 Botschaft (UHRZEIT_DATUM, 0x2F8)
0x4AB8	4AB8 Botschaft (UHRZEIT_DATUM, 0x2F8)
0x4AC0	4AC0 Elektrischer Zuheizer 2 (nv)
0x4AC2	4AC2 Elektrischer Zuheizer 2 (nv)
0x4AC5	4AC5 Oelqualitaetssensor QLTCD
0x4AC6	4AC6 Oelqualitaetssensor QLTCD
0x4AC7	4AC7 Oelqualitaetssensor QLTCD
0x4AC8	4AC8 Oelqualitaetssensor QLTCD
0x4AD0	4AD0 Elektrischer Zuheizer 3 (nv)
0x4AD2	4AD2 Elektrischer Zuheizer 3 (nv)
0x4AD5	4AD5 Nullmengenadaption Injektor Zylinder 1
0x4AD6	4AD6 Nullmengenadaption Injektor Zylinder 1
0x4ADD	4ADD Diagnosemodus Hochlauftest
0x4AE0	4AE0 E-Boxluefter, Ansteuerung
0x4AE1	4AE1 E-Boxluefter, Ansteuerung
0x4AE2	4AE2 E-Boxluefter, Ansteuerung
0x4AE3	4AE3 E-Boxluefter, Ansteuerung
0x4AE5	4AE5 Nullmengenadaption Injektor Zylinder 2
0x4AE6	4AE6 Nullmengenadaption Injektor Zylinder 2
0x4AEA	4AEA Diagnosemodus Einspritzabschaltung
0x4AF0	4AF0 Steuergeraetetemperatursensor, Signal
0x4AF1	4AF1 Steuergeraetetemperatursensor, Signal
0x4AF5	4AF5 Nullmengenadaption Injektor Zylinder 3
0x4AF6	4AF6 Nullmengenadaption Injektor Zylinder 3
0x4B00	4B00 Steuergeraetetemperatur
0x4B05	4B05 Nullmengenadaption Injektor Zylinder 4
0x4B06	4B06 Nullmengenadaption Injektor Zylinder 4
0x4B10	4B10 Laufruheregler
0x4B11	4B11 Laufruheregler
0x4B15	4B15 Nullmengenadaption Injektor Zylinder 5
0x4B16	4B16 Nullmengenadaption Injektor Zylinder 5
0x4B20	4B20 Elektroluefter
0x4B22	4B22 Elektroluefter
0x4B25	4B25 Nullmengenadaption Injektor Zylinder 6
0x4B26	4B26 Nullmengenadaption Injektor Zylinder 6
0x4B30	4B30 Elektroluefter 2 (nv)
0x4B32	4B32 Elektroluefter 2 (nv)
0x4B35	4B35 Oelqualitaetssensor (Layer_QLT)
0x4B36	4B36 Oelqualitaetssensor (Layer_QLT)
0x4B37	4B37 Oelqualitaetssensor (Layer_QLT)
0x4B38	4B38 Oelqualitaetssensor (Layer_QLT)
0x4B40	4B40 Elektroluefter 3 (nv)
0x4B42	4B42 Elektroluefter 3 (nv)
0x4B50	4B50 Mengenabgleich
0x4B60	4B60 Mengendriftkompensation
0x4B90	4B90 Raildruckueberwachung bei Motorstart
0x4BA0	4BA0 Ansauglufttemperatursensor, Signal
0x4BA1	4BA1 Ansauglufttemperatursensor, Signal
0x4BB0	4BB0 Versorgungsspannung Luftmassenmesser
0x4BB1	4BB1 Versorgungsspannung Luftmassenmesser
0x4BB5	4BB5 Luftmassenmesser
0x4BB6	4BB6 Luftmassenmesser
0x4BB7	4BB7 Luftmassenmesser
0x4BC0	4BC0 Luftmassenmesser
0x4BC1	4BC1 Luftmassenmesser
0x4BC2	4BC2 Luftmassenmesser
0x4BC5	4BC5 Ansauglufttemperatursensor  (Referenzsignal fuer Luftmassenmesser)
0x4BC6	4BC6 Ansauglufttemperatursensor  (Referenzsignal fuer Luftmassenmesser)
0x4BC7	4BC7 Ansauglufttemperatursensor  (Referenzsignal fuer Luftmassenmesser)
0x4BD2	4BD2 Drehmomentanforderung ARS
0x4BD5	4BD5 Motorlager, Ansteuerung
0x4BD6	4BD6 Motorlager, Ansteuerung
0x4BD7	4BD7 Motorlager, Ansteuerung
0x4BD8	4BD8 Motorlager, Ansteuerung
0x4BE2	4BE2 Botschaft (GEARBX_DATA, 0xBA)
0x4BE3	4BE3 Botschaft (GEARBX_DATA, 0xBA)
0x4BE7	4BE7 Botschaft (GEARBX_DATA2, 0x1A2)
0x4BE8	4BE8 Botschaft (GEARBX_DATA2, 0x1A2)
0x4BF2	4BF2 Botschaft (HEAT_AC, 0x1B5)
0x4BF3	4BF3 Botschaft (HEAT_AC, 0x1B5)
0x4BF7	4BF7 Botschaft (MILEAGE_RANGE, 0x330)
0x4BF8	4BF8 Botschaft (MILEAGE_RANGE, 0x330)
0x4C00	4C00 Botschaft (OP_CRCTLACC, 0x194)
0x4C01	4C01 Botschaft (OP_CRCTLACC, 0x194)
0x4C02	4C02 Botschaft (OP_CRCTLACC, 0x194)
0x4C03	4C03 Botschaft (OP_CRCTLACC, 0x194)
0x4C06	4C06 Botschaft (STAT_ARS, 0x1AC)
0x4C07	4C07 Botschaft (STAT_ARS, 0x1AC)
0x4C08	4C08 Botschaft (STAT_ARS, 0x1AC)
0x4C12	4C12 Botschaft (STAT_DSC, 0x19E)
0x4C13	4C13 Botschaft (STAT_DSC, 0x19E)
0x4C15	4C15 Botschaft (TERMINAL, 0x130)
0x4C16	4C16 Botschaft (TERMINAL, 0x130)
0x4C17	4C17 Botschaft (TERMINAL, 0x130)
0x4C18	4C18 Botschaft (TERMINAL, 0x130)
0x4C20	4C20 Botschaft (TORQUE_DSC, 0xB6)
0x4C21	4C21 Botschaft (TORQUE_DSC, 0xB6)
0x4C22	4C22 Botschaft (TORQUE_DSC, 0xB6)
0x4C23	4C23 Botschaft (TORQUE_DSC, 0xB6)
0x4C27	4C27 Botschaft (VELOCITY, 0x1A0)
0x4C28	4C28 Botschaft (VELOCITY, 0x1A0)
0x4CB2	4CB2 Botschaft (PWRMNG_LOADV, 0x334)
0x4CB3	4CB3 Botschaft (PWRMNG_LOADV, 0x334)
0x4CE0	4CE0 Partikelfiltersystem
0x4CF3	4CF3 Abgasgegendrucksensor, Signal
0x4D00	4D00 Abgasgegendrucksensor
0x4D01	4D01 Abgasgegendrucksensor
0x4D03	4D03 Abgasgegendrucksensor
0x4D13	4D13 Partikelfiltersystem
0x4D23	4D23 Partikelfiltersystem
0x4D40	4D40 Partikelfiltersystem
0x4D73	4D73 Partikelfiltersystem
0x4DF0	4DF0 Botschaft (TORQUE_GEARBX, 0xB5)
0x4DF1	4DF1 Botschaft (TORQUE_GEARBX, 0xB5)
0x4DF2	4DF2 Botschaft (TORQUE_GEARBX, 0xB5)
0x4DF3	4DF3 Botschaft (TORQUE_GEARBX, 0xB5)
0xCD87	CD87 Power Train CAN Bus
